Date,Time,Open,High,Low,Close
2024-06-06,03:00,1.27937,1.28091,1.27631,1.27926
2024-06-07,03:00,1.27926,1.28119,1.27162,1.27224
2024-06-10,03:00,1.27281,1.27372,1.26881,1.27259
2024-06-11,03:00,1.27259,1.27516,1.27060,1.27399
2024-06-12,03:00,1.27399,1.28602,1.27330,1.27963
2024-06-13,03:00,1.27963,1.28077,1.27386,1.27537
2024-06-14,03:00,1.27537,1.27634,1.26570,1.26871
2024-06-17,03:00,1.26835,1.27143,1.26592,1.27139
2024-06-18,03:00,1.27138,1.27209,1.26691,1.27070
2024-06-19,03:00,1.27070,1.27400,1.27003,1.27204
2024-06-20,03:00,1.27202,1.27205,1.26550,1.26600
2024-06-21,03:00,1.26599,1.26760,1.26225,1.26407
2024-06-24,03:00,1.26381,1.26981,1.26330,1.26821
2024-06-25,03:00,1.26820,1.27024,1.26705,1.26841
2024-06-26,03:00,1.26841,1.26930,1.26157,1.26212
2024-06-27,03:00,1.26211,1.26707,1.26131,1.26442
2024-06-28,03:00,1.26443,1.26623,1.26199,1.26437
2024-07-01,03:00,1.26488,1.27097,1.26335,1.26451
2024-07-02,03:00,1.26452,1.26916,1.26157,1.26875
2024-07-03,03:00,1.26876,1.27773,1.26783,1.27475
2024-07-04,03:00,1.27474,1.27676,1.27412,1.27549
2024-07-05,03:00,1.27549,1.28171,1.27549,1.28149
2024-07-08,03:00,1.28062,1.28457,1.28000,1.28153
2024-07-09,03:00,1.28154,1.28253,1.27782,1.27882
2024-07-10,03:00,1.27882,1.28543,1.27845,1.28539
2024-07-11,03:00,1.28539,1.29492,1.28496,1.29238
2024-07-12,03:00,1.29238,1.29905,1.29022,1.29873
2024-07-15,03:00,1.29673,1.29946,1.29620,1.29693
2024-07-16,03:00,1.29693,1.29799,1.29384,1.29775
2024-07-17,03:00,1.29776,1.30444,1.29663,1.30086
2024-07-18,03:00,1.30084,1.30128,1.29403,1.29492
2024-07-19,03:00,1.29492,1.29492,1.29013,1.29112
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29313
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29313
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29313
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29313
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29313
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29309
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29309
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29312
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29313
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29311
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29310
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29309
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29309
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29309
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
2024-07-22,03:00,1.29329,1.29423,1.29059,1.29308
